column_name,value,total_volume_sample,percentage_above,percentage_below
classic_leagues_competed_in,5,12,100.0,40.0
classic_leagues_competed_in,6,4,60.0,53.333
classic_leagues_competed_in,7,4,46.667,66.667
classic_leagues_competed_in,8,7,33.333,90.0
classic_leagues_competed_in,10,2,10.0,96.667
classic_leagues_competed_in,11,1,3.333,100.0
h2h_leagues_competed_in,0,26,100.0,86.667
h2h_leagues_competed_in,1,3,13.333,96.667
h2h_leagues_competed_in,3,1,3.333,100.0
last_deadline_total_transfers,0,30,100.0,100.0
leagues_admin,0,23,100.0,76.667
leagues_admin,1,4,23.333,90.0
leagues_admin,2,3,10.0,100.0
min_rank_history,9078.0,1,100.0,3.448
min_rank_history,14861.0,1,96.552,6.897
min_rank_history,19406.0,1,93.103,10.345
min_rank_history,39215.0,1,89.655,13.793
min_rank_history,39376.0,1,86.207,17.241
min_rank_history,62183.0,1,82.759,20.69
min_rank_history,90794.0,1,79.31,24.138
min_rank_history,191829.0,1,75.862,27.586
min_rank_history,324095.0,1,72.414,31.034
min_rank_history,408108.0,1,68.966,34.483
min_rank_history,978003.0,1,65.517,37.931
min_rank_history,1001947.0,1,62.069,41.379
min_rank_history,1266568.0,1,58.621,44.828
min_rank_history,1557674.0,1,55.172,48.276
min_rank_history,1570796.0,1,51.724,51.724
min_rank_history,1969424.0,1,48.276,55.172
min_rank_history,2070075.0,1,44.828,58.621
min_rank_history,2313419.0,1,41.379,62.069
min_rank_history,2355450.0,1,37.931,65.517
min_rank_history,2398264.0,1,34.483,68.966
min_rank_history,2499113.0,1,31.034,72.414
min_rank_history,2627281.0,1,27.586,75.862
min_rank_history,3509892.0,1,24.138,79.31
min_rank_history,3565850.0,1,20.69,82.759
min_rank_history,8254779.0,1,17.241,86.207
min_rank_history,8346139.0,1,13.793,89.655
min_rank_history,9594875.0,1,10.345,93.103
min_rank_history,9777225.0,1,6.897,96.552
min_rank_history,10000067.0,1,3.448,100.0
max_total_points_history,1330.0,1,100.0,3.448
max_total_points_history,1429.0,1,96.552,6.897
max_total_points_history,1486.0,1,93.103,10.345
max_total_points_history,1692.0,1,89.655,13.793
max_total_points_history,1724.0,1,86.207,17.241
max_total_points_history,2026.0,1,82.759,20.69
